                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.96589,                 1.5552,                0.87098,                 1.1292,                0.74416,                0.63506,                0.73272,                 0.4933,                0.74922,                0.61466,                0.70746,                0.41054,                0.97891,                0.80862,                 5.1368,                 1.1516,               0.008911,               0.008911,               0.008911
                     35,                0.95662,                 1.5066,                0.86048,                 1.1262,                0.75019,                0.64648,                0.73872,                0.49999,                0.76577,                0.61931,                0.71291,                 0.4183,                0.96709,                0.80279,                 5.3532,                 1.1431,               0.008878,               0.008878,               0.008878
                     36,                0.95163,                 1.5074,                0.85818,                 1.1265,                0.75831,                0.64336,                0.74287,                0.50982,                 0.7609,                0.62848,                0.71995,                0.42771,                 0.9877,                0.80898,                 4.6394,                  1.165,               0.008845,               0.008845,               0.008845
                     37,                0.94681,                 1.5261,                0.86236,                 1.1212,                0.76626,                0.64556,                0.74697,                0.51337,                0.76469,                0.62416,                0.71749,                0.42778,                0.98416,                0.80362,                 5.0746,                 1.1542,               0.008812,               0.008812,               0.008812
                     38,                0.95229,                 1.4997,                0.85612,                 1.1237,                0.75684,                  0.647,                  0.746,                0.51119,                 0.7627,                0.62178,                0.72365,                0.42886,                0.99208,                0.80279,                  4.691,                 1.1584,               0.008779,               0.008779,               0.008779
                     39,                0.93935,                 1.4993,                0.85417,                 1.1216,                0.74652,                0.64994,                0.74288,                 0.5045,                0.74499,                0.62952,                0.71735,                0.41789,                0.97159,                0.79252,                 4.5255,                 1.1383,               0.008746,               0.008746,               0.008746
                     40,                0.95183,                 1.4996,                0.85402,                 1.1213,                0.75299,                0.64406,                0.74403,                0.50964,                0.75397,                 0.6162,                0.71589,                0.42118,                0.97435,                0.78692,                 4.4979,                 1.1374,               0.008713,               0.008713,               0.008713
                     41,                0.94413,                 1.5051,                 0.8536,                  1.116,                 0.7496,                0.65392,                0.74742,                0.51055,                0.76615,                0.61511,                0.71742,                0.41913,                0.96962,                0.77935,                 4.5764,                  1.138,                0.00868,                0.00868,                0.00868
                     42,                0.94978,                 1.5113,                0.85769,                 1.1181,                0.76427,                0.65029,                0.74972,                0.51733,                0.76785,                0.62087,                0.72145,                0.42617,                0.96495,                0.77449,                 4.4981,                 1.1369,               0.008647,               0.008647,               0.008647
                     43,                0.94666,                 1.4997,                0.84965,                 1.1164,                0.75662,                0.64856,                  0.748,                0.51656,                0.76375,                0.62173,                0.71967,                 0.4249,                 0.9627,                 0.7749,                  4.735,                 1.1345,               0.008614,               0.008614,               0.008614
                     44,                0.94252,                  1.514,                0.84897,                 1.1152,                 0.7533,                0.65202,                0.74831,                0.51575,                0.76082,                0.62416,                0.72059,                0.42414,                0.96162,                0.77699,                 4.7667,                 1.1321,               0.008581,               0.008581,               0.008581
                     45,                0.93365,                 1.4705,                 0.8459,                 1.1099,                0.75213,                0.65527,                0.74879,                0.51683,                0.75006,                 0.6245,                0.71722,                0.42261,                0.95526,                0.77674,                 4.9298,                 1.1277,               0.008548,               0.008548,               0.008548
                     46,                0.94429,                 1.4863,                0.84667,                 1.1117,                 0.7473,                0.65686,                0.74971,                0.51828,                0.75187,                0.62502,                0.71994,                0.42471,                0.95259,                0.77516,                 4.9471,                 1.1262,               0.008515,               0.008515,               0.008515
                     47,                0.93773,                 1.4881,                0.84209,                 1.1045,                0.75746,                0.65389,                0.75104,                0.52049,                0.74964,                0.62571,                0.71874,                0.42488,                0.94861,                0.77562,                 4.9802,                 1.1246,               0.008482,               0.008482,               0.008482
                     48,                0.93403,                 1.5069,                0.84022,                 1.1057,                0.75105,                0.65463,                0.75167,                 0.5226,                0.75413,                0.62364,                0.72044,                0.42914,                 0.9518,                 0.7744,                 5.0005,                 1.1257,               0.008449,               0.008449,               0.008449
                     49,                0.93396,                 1.4915,                0.84177,                 1.1093,                0.75607,                0.64769,                0.75066,                0.52174,                0.75697,                0.62306,                0.72092,                0.42907,                0.95184,                  0.774,                 5.0755,                 1.1251,               0.008416,               0.008416,               0.008416
                     50,                0.93034,                 1.4923,                0.84052,                 1.1069,                0.75911,                0.64942,                0.75211,                0.52387,                0.75702,                0.62104,                0.72115,                0.43101,                0.94604,                0.77245,                 5.0457,                 1.1238,               0.008383,               0.008383,               0.008383
                     51,                0.92619,                  1.483,                0.83772,                 1.1003,                0.76033,                0.64717,                0.75278,                0.52427,                 0.7612,                0.61943,                0.72238,                0.43023,                0.94555,                 0.7719,                 4.9394,                 1.1228,                0.00835,                0.00835,                0.00835
                     52,                0.93492,                 1.4893,                0.84422,                 1.1018,                0.75292,                0.65444,                0.75305,                0.52547,                0.75931,                0.62052,                0.72318,                0.43229,                0.94486,                0.77153,                 4.8875,                 1.1221,               0.008317,               0.008317,               0.008317
                     53,                0.92982,                 1.4853,                0.83734,                 1.1027,                 0.7455,                0.66171,                0.75349,                0.52568,                0.76061,                0.62018,                0.72189,                0.43218,                0.94649,                0.77252,                 4.8654,                 1.1229,               0.008284,               0.008284,               0.008284
                     54,                0.91943,                 1.4628,                0.82691,                 1.0986,                0.75323,                0.65599,                0.75331,                0.52672,                0.76311,                0.61706,                0.72211,                0.43215,                0.94638,                0.77221,                 4.7649,                 1.1229,               0.008251,               0.008251,               0.008251
                     55,                0.92443,                 1.4845,                0.83277,                 1.1003,                0.76034,                 0.6534,                0.75443,                0.52738,                0.76305,                0.61914,                0.72322,                0.43221,                 0.9473,                0.77134,                  4.654,                 1.1237,               0.008218,               0.008218,               0.008218
                     56,                0.93029,                 1.4754,                 0.8303,                 1.0997,                0.75502,                0.65916,                0.75508,                0.52761,                0.76267,                0.62243,                0.72345,                0.43323,                 0.9505,                0.77104,                 4.6277,                 1.1279,               0.008185,               0.008185,               0.008185
                     57,                0.92306,                 1.4646,                0.83504,                 1.0997,                0.74763,                0.66334,                0.75487,                0.52792,                0.76388,                0.62087,                0.72249,                0.43285,                0.95614,                0.77148,                 4.5812,                 1.1337,               0.008152,               0.008152,               0.008152
                     58,                0.91807,                  1.465,                0.82982,                 1.0987,                0.74831,                0.66265,                0.75498,                 0.5284,                0.76448,                0.62139,                0.72304,                0.43336,                0.95931,                0.77179,                 4.5224,                 1.1413,               0.008119,               0.008119,               0.008119
                     59,                 0.9243,                 1.4563,                 0.8285,                 1.0962,                0.75091,                0.66257,                0.75566,                0.52874,                0.76216,                0.62216,                0.72282,                0.43284,                0.96133,                0.77158,                 4.4483,                 1.1472,               0.008086,               0.008086,               0.008086
