                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.6535,                 2.4082,                 1.2481,                 1.3125,                0.55705,                0.48533,                0.50238,                0.23291,                0.51229,                0.42794,                0.44576,                0.17568,                 1.8261,                 2.7289,                 1.3239,                 1.2642,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.6582,                 2.4284,                 1.2671,                 1.3221,                0.59439,                0.40667,                0.46657,                0.20754,                0.57104,                0.37037,                0.40768,                0.15677,                 1.8445,                 2.6716,                 1.3715,                 1.2812,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.6589,                 2.4092,                 1.2713,                  1.321,                0.56796,                   0.42,                0.44717,                0.20207,                0.54781,                 0.3763,                0.38538,                0.14169,                  1.882,                 2.6329,                 1.3982,                 1.2844,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.6551,                  2.429,                 1.2691,                 1.3099,                0.52896,                0.38889,                  0.413,                0.19834,                0.54797,                0.33185,                0.35831,                 0.1453,                 1.8683,                 2.6928,                 1.4369,                 1.2721,               0.001736,               0.001736,               0.001736
                     42,                 1.6442,                  2.431,                 1.2366,                 1.3196,                0.54339,                0.50296,                0.49797,                0.22581,                0.52268,                0.44222,                0.44101,                0.16352,                 1.7961,                 2.6114,                 1.3706,                 1.2545,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.6244,                 2.4463,                 1.2521,                 1.3018,                0.53814,                0.38148,                0.36515,                0.16299,                0.48823,                0.33481,                0.30973,                0.11485,                  1.936,                  2.512,                 1.6277,                 1.3043,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.6252,                 2.3665,                 1.2353,                 1.2991,                0.58101,                0.47259,                0.50382,                0.22847,                0.54871,                 0.4363,                 0.4538,                0.16626,                 1.8113,                 2.6273,                 1.3917,                 1.2576,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.6155,                 2.4021,                 1.2269,                 1.2962,                0.61164,                0.39111,                0.42196,                0.19432,                0.55798,                0.35111,                0.35186,                0.13229,                 1.8469,                 14.466,                 1.4205,                  1.261,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.625,                 2.4109,                 1.2611,                 1.3087,                0.55512,                0.46889,                0.48621,                 0.2268,                0.57292,                0.40542,                0.44365,                0.16968,                 1.7923,                 2.5686,                 1.3902,                 1.2462,               0.001703,               0.001703,               0.001703
                     47,                 1.6073,                 2.3693,                 1.2012,                 1.2899,                0.54882,                0.43111,                 0.4307,                0.19253,                0.57576,                0.36741,                0.38811,                0.14077,                 1.8614,                 2.5143,                  1.475,                  1.276,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.6175,                 2.3268,                  1.224,                 1.2852,                0.55845,                 0.4837,                 0.5019,                0.22278,                0.49895,                0.44963,                0.45236,                0.16795,                 1.8446,                 2.5244,                 1.3044,                 1.2586,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.6052,                 2.3867,                  1.215,                 1.2913,                0.58092,                0.48773,                0.53345,                0.24909,                0.53578,                0.44519,                0.46158,                0.16505,                 1.8006,                 2.5558,                 1.2997,                 1.2593,              0.0016832,              0.0016832,              0.0016832
                     50,                  1.619,                 2.3415,                 1.2425,                 1.2898,                0.51173,                0.46734,                0.45661,                0.20991,                0.56369,                0.36815,                0.41612,                0.15556,                 1.8562,                 2.6961,                 1.4101,                 1.2751,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.5925,                  2.372,                 1.2215,                 1.2927,                 0.5711,                   0.42,                0.46958,                0.22472,                0.54889,                0.37407,                0.41799,                0.16426,                 1.7796,                 2.5029,                 1.3524,                 1.2523,                0.00167,                0.00167,                0.00167
                     52,                 1.5929,                 2.3857,                  1.211,                 1.2862,                0.50234,                0.44444,                0.44461,                0.21353,                0.50907,                0.40889,                0.41989,                0.16604,                 1.7976,                 2.6305,                 1.4105,                   1.26,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.5852,                 2.4319,                 1.2205,                 1.2841,                0.60424,                 0.3834,                0.43158,                0.18151,                 0.5773,                0.31059,                0.33051,                0.11325,                 1.9468,                 2.5105,                 1.5295,                 1.2834,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.5965,                 2.3854,                 1.2025,                 1.2841,                0.51645,                   0.44,                0.44383,                 0.2031,                0.59104,                0.35852,                0.40238,                0.14921,                 1.8686,                 2.5943,                 1.4814,                 1.2772,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.5741,                 2.3126,                 1.1981,                 1.2923,                 0.5199,                0.42519,                0.41993,                0.18979,                0.48782,                0.36963,                0.35885,                0.12818,                 1.8803,                 2.8048,                 1.5318,                  1.278,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.5606,                 2.3375,                 1.1854,                 1.2821,                0.62012,                0.40519,                0.43354,                0.20633,                0.57127,                0.36963,                0.38476,                0.14805,                 1.8425,                 2.5977,                 1.3876,                 1.2694,               0.001637,               0.001637,               0.001637
                     57,                 1.5612,                 2.3539,                 1.1733,                 1.2755,                0.53954,                0.44074,                0.45609,                0.21415,                0.57872,                0.36429,                0.41336,                0.16625,                 1.7797,                 2.5562,                 1.3605,                 1.2451,              0.0016304,              0.0016304,              0.0016304
